final_corruption_rate,final_mean_integrity,total_extractions,integrity_mean,base_detection_prob,n_enforcers,oversight_structure,integrity_decay,corruption_contagion,seed
1.0,0.0005607324832285344,17846,3.0,0.1,100,hierarchical,True,True,1
1.0,0.0004393678057642884,17896,3.0,0.1,100,hierarchical,True,True,2
1.0,0.05570836256125602,17709,3.0,0.1,100,hierarchical,True,True,3
1.0,0.00040298733592216454,17941,3.0,0.1,100,hierarchical,True,True,4
1.0,0.0005395912224786175,17867,3.0,0.1,100,hierarchical,True,True,5
1.0,0.0005115139789964433,17809,3.0,0.1,100,hierarchical,True,True,6
1.0,0.0004348527802458667,17924,3.0,0.1,100,hierarchical,True,True,7
1.0,0.005162443775081248,17710,3.0,0.1,100,hierarchical,True,True,8
1.0,0.00039636238412741074,17983,3.0,0.1,100,hierarchical,True,True,9
1.0,0.0020717084608099915,16058,3.0,0.2,100,hierarchical,True,True,0
1.0,0.002602709070562102,15994,3.0,0.2,100,hierarchical,True,True,1
1.0,0.02788497899542919,15862,3.0,0.2,100,hierarchical,True,True,2
1.0,0.0028497523215454735,16114,3.0,0.2,100,hierarchical,True,True,3
1.0,0.003973477251117532,16140,3.0,0.2,100,hierarchical,True,True,4
1.0,0.030426308660619888,15855,3.0,0.2,100,hierarchical,True,True,5
1.0,0.025701877311442814,15975,3.0,0.2,100,hierarchical,True,True,6
1.0,0.002714029276055057,16076,3.0,0.2,100,hierarchical,True,True,7
1.0,0.002503040096217929,15904,3.0,0.2,100,hierarchical,True,True,8
1.0,0.00247212440097862,16087,3.0,0.2,100,hierarchical,True,True,9
1.0,0.03611790095413288,13203,3.0,0.3,100,hierarchical,True,True,0
1.0,0.02559960235456547,13271,3.0,0.3,100,hierarchical,True,True,1
1.0,0.06125729413153568,13400,3.0,0.3,100,hierarchical,True,True,2
1.0,0.061291563801408475,13300,3.0,0.3,100,hierarchical,True,True,3
1.0,0.051491553671443056,13255,3.0,0.3,100,hierarchical,True,True,4
1.0,0.05509290375992666,13247,3.0,0.3,100,hierarchical,True,True,5
1.0,0.06179818961692838,13353,3.0,0.3,100,hierarchical,True,True,6
1.0,0.01663110370377467,13478,3.0,0.3,100,hierarchical,True,True,7
1.0,0.12720856853467488,13182,3.0,0.3,100,hierarchical,True,True,8
1.0,0.07138987355999489,13268,3.0,0.3,100,hierarchical,True,True,9
1.0,0.1537202780305053,10771,3.0,0.4,100,hierarchical,True,True,0
1.0,0.1933395163105759,10517,3.0,0.4,100,hierarchical,True,True,1
1.0,0.19915595530128166,10594,3.0,0.4,100,hierarchical,True,True,2
1.0,0.12286894432538104,10965,3.0,0.4,100,hierarchical,True,True,3
1.0,0.2224316455241474,10499,3.0,0.4,100,hierarchical,True,True,4
1.0,0.13200747216572004,10630,3.0,0.4,100,hierarchical,True,True,5
1.0,0.11953701680075922,10578,3.0,0.4,100,hierarchical,True,True,6
1.0,0.17178894140987352,10616,3.0,0.4,100,hierarchical,True,True,7
1.0,0.2065612531076143,10538,3.0,0.4,100,hierarchical,True,True,8
1.0,0.1555334261045938,10544,3.0,0.4,100,hierarchical,True,True,9
1.0,0.21736897028044094,8735,3.0,0.5,100,hierarchical,True,True,0
1.0,0.30060935126604194,8692,3.0,0.5,100,hierarchical,True,True,1
1.0,0.28699520468130946,8603,3.0,0.5,100,hierarchical,True,True,2
1.0,0.3549201666377646,8729,3.0,0.5,100,hierarchical,True,True,3
1.0,0.31278169062130695,8449,3.0,0.5,100,hierarchical,True,True,4
1.0,0.3157872795408222,8491,3.0,0.5,100,hierarchical,True,True,5
1.0,0.3926009714642001,8244,3.0,0.5,100,hierarchical,True,True,6
1.0,0.3439142237263013,8582,3.0,0.5,100,hierarchical,True,True,7
1.0,0.31004623875702186,8522,3.0,0.5,100,hierarchical,True,True,8
