reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
true,99.60,5,Extinction,0.2011
true,496.06,17,Extinction,0.9900
true,216.04,9,Extinction,0.3518
true,151.57,9,Extinction,0.3518
true,26.69,2,Extinction,0.1322
true,195.52,8,Extinction,0.3059
true,289.23,9,Extinction,0.3518
true,219.37,9,Extinction,0.3518
true,385.76,13,Extinction,0.6153
true,683.38,21,Extinction,0.9900
true,146.59,6,Extinction,0.2313
true,433.74,15,Extinction,0.8137
true,334.05,11,Extinction,0.4652
true,404.25,14,Extinction,0.7076
true,18.40,2,Extinction,0.1322
true,272.86,10,Extinction,0.4046
true,120.77,6,Extinction,0.2313
true,246.01,9,Extinction,0.3518
true,2.74,2,Extinction,0.1322
true,333.01,12,Extinction,0.5350
true,141.11,5,Extinction,0.2011
true,527.65,18,Extinction,0.9900
true,454.83,17,Extinction,0.9900
true,74.56,4,Extinction,0.1749
true,322.83,13,Extinction,0.6153
true,391.51,14,Extinction,0.7076
true,209.35,9,Extinction,0.3518
true,26.94,2,Extinction,0.1322
true,381.76,15,Extinction,0.8137
true,326.43,11,Extinction,0.4652
true,368.33,12,Extinction,0.5350
true,334.35,11,Extinction,0.4652
true,320.69,13,Extinction,0.6153
true,272.41,11,Extinction,0.4652
true,391.89,13,Extinction,0.6153
true,222.17,8,Extinction,0.3059
true,3.29,2,Extinction,0.1322
true,240.22,9,Extinction,0.3518
true,360.99,13,Extinction,0.6153
true,376.05,14,Extinction,0.7076
true,201.97,8,Extinction,0.3059
true,393.54,14,Extinction,0.7076
true,196.08,7,Extinction,0.2660
true,95.88,4,Extinction,0.1749
true,42.69,3,Extinction,0.1521
true,94.95,5,Extinction,0.2011
true,206.15,8,Extinction,0.3059
true,166.37,5,Extinction,0.2011
true,227.98,8,Extinction,0.3059
true,231.63,10,Extinction,0.4046
true,372.92,15,Extinction,0.8137
true,108.87,5,Extinction,0.2011
true,363.96,13,Extinction,0.6153
true,517.71,18,Extinction,0.9900
true,492.68,16,Extinction,0.9358
true,45.47,2,Extinction,0.1322
true,254.87,10,Extinction,0.4046
true,344.23,14,Extinction,0.7076
true,213.01,9,Extinction,0.3518
true,34.33,2,Extinction,0.1322
true,307.90,10,Extinction,0.4046
true,460.65,17,Extinction,0.9900
true,284.42,9,Extinction,0.3518
true,62.10,4,Extinction,0.1749
true,354.99,12,Extinction,0.5350
true,109.54,6,Extinction,0.2313
true,98.57,4,Extinction,0.1749
true,70.83,4,Extinction,0.1749
true,337.48,14,Extinction,0.7076
true,239.53,9,Extinction,0.3518
true,196.37,7,Extinction,0.2660
true,357.84,13,Extinction,0.6153
true,21.15,2,Extinction,0.1322
true,37.35,2,Extinction,0.1322
true,312.06,11,Extinction,0.4652
true,33.52,2,Extinction,0.1322
true,323.59,11,Extinction,0.4652
true,437.90,14,Extinction,0.7076
