reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
true,371.41,9,Extinction,0.2814
true,329.67,8,Extinction,0.2447
true,316.83,8,Extinction,0.2447
true,690.50,15,Extinction,0.6510
true,586.15,15,Extinction,0.6510
true,508.60,11,Extinction,0.3722
true,238.62,7,Extinction,0.2128
true,36.04,2,Extinction,0.1058
true,161.07,6,Extinction,0.1850
true,617.62,14,Extinction,0.5661
true,686.17,15,Extinction,0.6510
true,328.61,12,Extinction,0.4280
true,200.10,6,Extinction,0.1850
true,303.01,7,Extinction,0.2128
true,133.04,4,Extinction,0.1399
true,9.25,2,Extinction,0.1058
true,76.12,2,Extinction,0.1058
true,205.43,5,Extinction,0.1609
true,870.61,19,Extinction,0.9900
true,442.28,12,Extinction,0.4280
true,662.52,16,Extinction,0.7486
true,506.26,14,Extinction,0.5661
true,98.59,2,Extinction,0.1058
true,239.30,7,Extinction,0.2128
true,167.40,7,Extinction,0.2128
true,820.55,17,Extinction,0.8609
true,184.25,6,Extinction,0.1850
true,29.73,2,Extinction,0.1058
true,58.92,2,Extinction,0.1058
true,602.33,13,Extinction,0.4922
true,633.88,13,Extinction,0.4922
true,705.09,14,Extinction,0.5661
true,141.43,5,Extinction,0.1609
true,110.41,4,Extinction,0.1399
true,141.96,3,Extinction,0.1217
true,737.98,16,Extinction,0.7486
true,13.52,2,Extinction,0.1058
true,236.57,8,Extinction,0.2447
true,616.17,14,Extinction,0.5661
true,224.20,4,Extinction,0.1399
true,178.42,6,Extinction,0.1850
true,322.55,11,Extinction,0.3722
true,646.56,14,Extinction,0.5661
true,613.04,16,Extinction,0.7486
true,625.92,14,Extinction,0.5661
true,259.44,8,Extinction,0.2447
true,316.23,10,Extinction,0.3236
true,410.56,13,Extinction,0.4922
true,414.45,10,Extinction,0.3236
true,256.28,8,Extinction,0.2447
true,154.96,5,Extinction,0.1609
true,602.46,13,Extinction,0.4922
true,468.05,12,Extinction,0.4280
true,74.15,2,Extinction,0.1058
true,57.37,2,Extinction,0.1058
true,322.88,8,Extinction,0.2447
true,585.40,17,Extinction,0.8609
true,444.27,14,Extinction,0.5661
true,294.92,10,Extinction,0.3236
true,124.05,4,Extinction,0.1399
true,496.65,11,Extinction,0.3722
true,733.84,17,Extinction,0.8609
true,80.89,2,Extinction,0.1058
true,627.78,14,Extinction,0.5661
true,849.62,19,Extinction,0.9900
true,687.49,15,Extinction,0.6510
true,554.22,17,Extinction,0.8609
true,241.73,7,Extinction,0.2128
true,600.51,14,Extinction,0.5661
true,661.06,15,Extinction,0.6510
true,23.58,2,Extinction,0.1058
true,581.60,13,Extinction,0.4922
true,90.08,4,Extinction,0.1399
true,697.99,16,Extinction,0.7486
true,502.34,13,Extinction,0.4922
true,318.54,9,Extinction,0.2814
true,728.16,17,Extinction,0.8609
true,717.42,14,Extinction,0.5661
true,629.87,16,Extinction,0.7486
true,47.63,2,Extinction,0.1058
true,782.08,19,Extinction,0.9900
true,372.91,8,Extinction,0.2447
true,626.82,14,Extinction,0.5661
true,747.14,20,Extinction,0.9900
true,401.56,9,Extinction,0.2814
true,633.48,16,Extinction,0.7486
true,326.91,8,Extinction,0.2447
true,748.96,19,Extinction,0.9900
true,7.32,2,Extinction,0.1058
true,189.99,5,Extinction,0.1609
true,411.56,12,Extinction,0.4280
true,529.11,14,Extinction,0.5661
true,356.09,9,Extinction,0.2814
true,459.80,14,Extinction,0.5661
true,9.28,2,Extinction,0.1058
true,992.58,21,Extinction,0.9900
true,652.03,15,Extinction,0.6510
true,374.06,11,Extinction,0.3722
true,99.55,2,Extinction,0.1058
true,127.09,5,Extinction,0.1609
true,444.94,15,Extinction,0.6510
true,514.55,13,Extinction,0.4922
true,621.41,15,Extinction,0.6510
true,440.96,8,Extinction,0.2447
true,797.48,15,Extinction,0.6510
true,304.12,7,Extinction,0.2128
true,484.65,10,Extinction,0.3236
true,144.71,4,Extinction,0.1399
true,428.29,11,Extinction,0.3722
true,682.42,13,Extinction,0.4922
true,235.42,7,Extinction,0.2128
true,588.90,19,Extinction,0.9900
true,309.30,8,Extinction,0.2447
true,645.24,18,Extinction,0.9900
true,349.59,8,Extinction,0.2447
true,942.49,18,Extinction,0.9900
true,561.80,12,Extinction,0.4280
true,111.45,5,Extinction,0.1609
true,297.74,6,Extinction,0.1850
true,536.92,14,Extinction,0.5661
true,305.55,9,Extinction,0.2814
true,286.70,10,Extinction,0.3236
true,843.88,18,Extinction,0.9900
true,456.83,9,Extinction,0.2814
true,546.77,15,Extinction,0.6510
true,462.53,10,Extinction,0.3236
true,664.54,12,Extinction,0.4280
true,346.81,8,Extinction,0.2447
true,607.33,14,Extinction,0.5661
true,432.19,11,Extinction,0.3722
true,128.33,4,Extinction,0.1399
true,829.86,21,Extinction,0.9900
true,214.17,4,Extinction,0.1399
true,726.83,15,Extinction,0.6510
true,253.75,6,Extinction,0.1850
true,263.06,8,Extinction,0.2447
true,338.24,10,Extinction,0.3236
true,471.70,12,Extinction,0.4280
true,635.44,17,Extinction,0.8609
true,562.19,11,Extinction,0.3722
true,679.90,15,Extinction,0.6510
true,76.89,4,Extinction,0.1399
true,558.60,11,Extinction,0.3722
true,958.13,20,Extinction,0.9900
true,264.34,8,Extinction,0.2447
true,287.16,9,Extinction,0.2814
true,333.46,10,Extinction,0.3236
true,683.83,16,Extinction,0.7486
true,58.67,2,Extinction,0.1058
true,415.49,10,Extinction,0.3236
true,606.18,15,Extinction,0.6510
true,554.77,11,Extinction,0.3722
true,70.51,2,Extinction,0.1058
true,827.83,15,Extinction,0.6510
true,407.73,10,Extinction,0.3236
true,439.81,10,Extinction,0.3236
true,372.35,12,Extinction,0.4280
true,404.93,8,Extinction,0.2447
true,322.65,9,Extinction,0.2814
true,595.70,14,Extinction,0.5661
true,538.10,14,Extinction,0.5661
true,245.52,8,Extinction,0.2447
true,685.60,17,Extinction,0.8609
true,291.60,7,Extinction,0.2128
true,706.82,17,Extinction,0.8609
true,581.28,14,Extinction,0.5661
true,189.80,6,Extinction,0.1850
true,26.03,4,Extinction,0.1399
true,84.83,2,Extinction,0.1058
true,369.21,11,Extinction,0.3722
true,507.53,12,Extinction,0.4280
true,808.95,16,Extinction,0.7486
true,802.24,18,Extinction,0.9900
true,523.13,12,Extinction,0.4280
true,397.22,17,Extinction,0.8609
true,196.23,6,Extinction,0.1850
true,859.98,15,Extinction,0.6510
true,554.78,15,Extinction,0.6510
true,140.69,4,Extinction,0.1399
true,63.77,3,Extinction,0.1217
true,450.41,11,Extinction,0.3722
true,638.64,15,Extinction,0.6510
true,675.95,17,Extinction,0.8609
true,531.07,11,Extinction,0.3722
true,200.96,6,Extinction,0.1850
true,232.34,7,Extinction,0.2128
true,484.91,13,Extinction,0.4922
true,423.21,12,Extinction,0.4280
true,389.69,10,Extinction,0.3236
true,268.31,6,Extinction,0.1850
true,279.57,6,Extinction,0.1850
true,726.16,19,Extinction,0.9900
true,272.42,8,Extinction,0.2447
true,513.75,13,Extinction,0.4922
true,690.61,13,Extinction,0.4922
true,74.77,4,Extinction,0.1399
true,748.16,14,Extinction,0.5661
true,308.42,6,Extinction,0.1850
true,595.13,16,Extinction,0.7486
true,39.38,2,Extinction,0.1058
true,324.70,8,Extinction,0.2447
true,742.89,17,Extinction,0.8609
true,413.86,11,Extinction,0.3722
true,42.87,2,Extinction,0.1058
true,935.07,18,Extinction,0.9900
true,522.60,10,Extinction,0.3236
true,320.60,8,Extinction,0.2447
true,26.96,2,Extinction,0.1058
true,246.75,8,Extinction,0.2447
true,399.45,9,Extinction,0.2814
true,234.84,6,Extinction,0.1850
true,128.58,6,Extinction,0.1850
true,532.39,16,Extinction,0.7486
true,665.36,11,Extinction,0.3722
true,349.87,10,Extinction,0.3236
true,376.21,11,Extinction,0.3722
true,351.83,9,Extinction,0.2814
true,661.85,17,Extinction,0.8609
true,435.04,9,Extinction,0.2814
true,587.79,14,Extinction,0.5661
true,653.64,15,Extinction,0.6510
true,108.96,4,Extinction,0.1399
true,383.62,11,Extinction,0.3722
true,619.34,15,Extinction,0.6510
true,688.97,16,Extinction,0.7486
true,105.21,4,Extinction,0.1399
true,150.33,6,Extinction,0.1850
true,24.94,2,Extinction,0.1058
true,436.94,15,Extinction,0.6510
true,71.29,2,Extinction,0.1058
true,362.06,9,Extinction,0.2814
true,772.57,21,Extinction,0.9900
