reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
true,876.21,17,Extinction,0.2527
false,1019.55,19,Corruption,0.3058
false,1014.96,19,TCS_Human,0.3058
false,1015.33,20,TCS_Human,0.3364
true,447.83,11,Extinction,0.1427
true,771.97,14,Extinction,0.1899
true,632.02,13,Extinction,0.1726
true,638.68,13,Extinction,0.1726
true,601.28,12,Extinction,0.1569
false,1043.37,18,Corruption,0.2780
true,731.58,17,Extinction,0.2527
false,1009.24,19,TCS_Human,0.3058
false,1042.61,20,TCS_Human,0.3364
true,177.51,6,Extinction,0.0886
true,142.96,4,Extinction,0.0732
true,410.10,10,Extinction,0.1297
true,766.52,19,Extinction,0.3058
true,705.15,16,Extinction,0.2297
true,788.76,16,Extinction,0.2297
true,553.82,13,Extinction,0.1726
true,818.82,18,Extinction,0.2780
true,623.40,15,Extinction,0.2089
true,971.25,22,Extinction,0.4070
true,360.10,8,Extinction,0.1072
true,303.18,7,Extinction,0.0974
true,534.32,13,Extinction,0.1726
true,539.34,12,Extinction,0.1569
true,866.13,17,Extinction,0.2527
true,141.62,4,Extinction,0.0732
false,1043.27,22,Corruption,0.4070
true,142.85,4,Extinction,0.0732
true,230.63,5,Extinction,0.0805
true,135.65,3,Extinction,0.0666
true,441.90,11,Extinction,0.1427
true,472.87,10,Extinction,0.1297
false,1035.54,20,TCS_AI,0.3364
true,569.36,13,Extinction,0.1726
true,763.55,19,Extinction,0.3058
true,903.72,19,Extinction,0.3058
true,61.63,2,Extinction,0.0605
false,1036.46,18,TCS_Human,0.2780
true,638.62,14,Extinction,0.1899
true,90.92,4,Extinction,0.0732
false,1054.47,17,Corruption,0.2527
true,470.57,9,Extinction,0.1179
true,381.32,10,Extinction,0.1297
true,434.11,9,Extinction,0.1179
true,202.36,6,Extinction,0.0886
true,972.24,22,Extinction,0.4070
false,1046.74,17,Corruption,0.2527
true,383.79,8,Extinction,0.1072
true,428.38,9,Extinction,0.1179
false,1007.52,20,Corruption,0.3364
true,356.17,9,Extinction,0.1179
true,837.32,18,Extinction,0.2780
true,37.83,2,Extinction,0.0605
true,405.08,9,Extinction,0.1179
false,1035.32,23,TCS_Human,0.4477
false,1030.64,21,Corruption,0.3700
false,1009.83,21,TCS_AI,0.3700
true,504.16,11,Extinction,0.1427
true,336.18,7,Extinction,0.0974
true,99.37,4,Extinction,0.0732
true,30.88,2,Extinction,0.0605
true,55.41,2,Extinction,0.0605
false,1090.70,23,Corruption,0.4477
true,33.34,2,Extinction,0.0605
true,194.12,5,Extinction,0.0805
true,565.69,13,Extinction,0.1726
false,1009.95,19,Corruption,0.3058
true,558.47,14,Extinction,0.1899
false,1020.13,16,Corruption,0.2297
true,212.34,6,Extinction,0.0886
true,729.68,16,Extinction,0.2297
true,717.23,14,Extinction,0.1899
true,785.99,16,Extinction,0.2297
false,1007.28,22,Corruption,0.4070
true,770.54,18,Extinction,0.2780
true,634.49,13,Extinction,0.1726
true,715.39,20,Extinction,0.3364
true,859.42,21,Extinction,0.3700
true,708.25,13,Extinction,0.1726
true,337.08,6,Extinction,0.0886
true,291.88,6,Extinction,0.0886
true,879.89,21,Extinction,0.3700
true,553.88,14,Extinction,0.1899
true,254.13,6,Extinction,0.0886
false,1004.94,19,Corruption,0.3058
true,661.47,14,Extinction,0.1899
true,558.98,12,Extinction,0.1569
true,586.53,13,Extinction,0.1726
true,542.50,10,Extinction,0.1297
true,704.19,16,Extinction,0.2297
true,653.90,14,Extinction,0.1899
false,1036.04,22,Corruption,0.4070
true,613.40,13,Extinction,0.1726
false,1038.00,20,Corruption,0.3364
true,235.52,7,Extinction,0.0974
false,1045.52,18,TCS_AI,0.2780
false,1005.56,21,Corruption,0.3700
true,73.91,2,Extinction,0.0605
true,904.91,16,Extinction,0.2297
false,1003.96,21,Corruption,0.3700
true,315.01,7,Extinction,0.0974
false,1020.82,22,TCS_Human,0.4070
true,654.84,14,Extinction,0.1899
true,967.29,25,Extinction,0.5417
true,542.96,12,Extinction,0.1569
false,1025.17,20,TCS_Human,0.3364
false,1037.60,19,Corruption,0.3058
true,984.06,18,Extinction,0.2780
false,1047.31,18,TCS_Human,0.2780
true,285.91,7,Extinction,0.0974
true,38.57,2,Extinction,0.0605
true,471.08,10,Extinction,0.1297
true,535.90,12,Extinction,0.1569
false,1009.80,19,Corruption,0.3058
true,543.76,13,Extinction,0.1726
false,1028.20,23,TCS_Human,0.4477
false,1031.18,21,TCS_Human,0.3700
true,873.77,15,Extinction,0.2089
true,526.31,12,Extinction,0.1569
true,43.83,2,Extinction,0.0605
true,936.68,21,Extinction,0.3700
true,314.00,8,Extinction,0.1072
false,1020.06,19,TCS_Human,0.3058
true,524.77,12,Extinction,0.1569
true,660.96,13,Extinction,0.1726
false,1001.70,19,TCS_AI,0.3058
false,1014.80,20,Corruption,0.3364
true,814.24,14,Extinction,0.1899
true,861.70,17,Extinction,0.2527
false,1018.67,20,Corruption,0.3364
false,1044.86,21,TCS_Human,0.3700
true,296.10,7,Extinction,0.0974
false,1061.82,21,Corruption,0.3700
true,906.27,20,Extinction,0.3364
true,992.99,23,Extinction,0.4477
false,1030.32,18,Corruption,0.2780
false,1023.82,20,Corruption,0.3364
true,672.67,13,Extinction,0.1726
true,665.13,17,Extinction,0.2527
true,896.53,17,Extinction,0.2527
true,477.85,11,Extinction,0.1427
false,1016.70,22,Corruption,0.4070
false,1014.82,18,Corruption,0.2780
true,330.09,7,Extinction,0.0974
false,1051.23,19,TCS_AI,0.3058
false,1014.25,20,Corruption,0.3364
true,645.18,15,Extinction,0.2089
true,982.08,21,Extinction,0.3700
true,896.95,19,Extinction,0.3058
true,573.54,12,Extinction,0.1569
true,49.24,3,Extinction,0.0666
true,753.90,19,Extinction,0.3058
true,352.62,8,Extinction,0.1072
false,1009.94,22,TCS_Human,0.4070
true,950.22,19,Extinction,0.3058
true,187.01,4,Extinction,0.0732
true,296.17,7,Extinction,0.0974
true,187.06,6,Extinction,0.0886
true,260.11,6,Extinction,0.0886
false,1053.87,20,Corruption,0.3364
true,733.54,16,Extinction,0.2297
true,380.58,8,Extinction,0.1072
true,828.67,16,Extinction,0.2297
true,618.77,14,Extinction,0.1899
false,1000.29,20,Corruption,0.3364
true,736.70,17,Extinction,0.2527
false,1048.92,17,Corruption,0.2527
true,848.79,20,Extinction,0.3364
true,455.08,10,Extinction,0.1297
true,949.83,19,Extinction,0.3058
true,968.30,20,Extinction,0.3364
false,1038.95,22,TCS_AI,0.4070
true,273.18,8,Extinction,0.1072
false,1070.03,21,Corruption,0.3700
true,950.79,20,Extinction,0.3364
false,1044.69,20,Corruption,0.3364
false,1003.35,21,TCS_Human,0.3700
true,742.59,16,Extinction,0.2297
true,812.63,18,Extinction,0.2780
true,615.40,13,Extinction,0.1726
true,121.66,4,Extinction,0.0732
true,859.31,18,Extinction,0.2780
true,453.53,11,Extinction,0.1427
true,93.02,4,Extinction,0.0732
true,946.19,20,Extinction,0.3364
true,487.38,11,Extinction,0.1427
false,1007.63,20,TCS_AI,0.3364
true,381.57,8,Extinction,0.1072
true,776.56,17,Extinction,0.2527
true,961.85,21,Extinction,0.3700
true,767.81,16,Extinction,0.2297
true,952.35,20,Extinction,0.3364
false,1015.05,19,TCS_AI,0.3058
false,1039.32,19,TCS_AI,0.3058
