reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
true,288.45,11,Extinction,0.9900
true,110.08,5,Extinction,0.4578
true,270.68,9,Extinction,0.9900
true,74.72,4,Extinction,0.3662
true,266.56,10,Extinction,0.9900
true,211.67,8,Extinction,0.8941
true,104.79,6,Extinction,0.5722
true,196.12,9,Extinction,0.9900
true,203.45,9,Extinction,0.9900
true,220.53,8,Extinction,0.8941
true,197.21,8,Extinction,0.8941
true,205.77,9,Extinction,0.9900
true,215.34,10,Extinction,0.9900
true,173.72,7,Extinction,0.7153
true,219.38,8,Extinction,0.8941
true,222.07,9,Extinction,0.9900
true,179.02,7,Extinction,0.7153
true,99.15,5,Extinction,0.4578
true,286.57,10,Extinction,0.9900
true,172.30,6,Extinction,0.5722
true,209.61,9,Extinction,0.9900
true,160.90,6,Extinction,0.5722
true,207.33,7,Extinction,0.7153
true,100.05,4,Extinction,0.3662
true,154.76,6,Extinction,0.5722
true,197.85,8,Extinction,0.8941
true,34.31,2,Extinction,0.2344
true,216.90,9,Extinction,0.9900
true,141.47,6,Extinction,0.5722
true,108.37,4,Extinction,0.3662
true,20.45,2,Extinction,0.2344
true,118.47,5,Extinction,0.4578
true,11.35,2,Extinction,0.2344
true,185.04,7,Extinction,0.7153
true,202.01,9,Extinction,0.9900
true,119.83,5,Extinction,0.4578
true,148.77,6,Extinction,0.5722
true,146.36,6,Extinction,0.5722
true,18.95,2,Extinction,0.2344
true,190.00,7,Extinction,0.7153
true,85.18,4,Extinction,0.3662
true,316.31,10,Extinction,0.9900
true,248.04,10,Extinction,0.9900
true,185.07,6,Extinction,0.5722
true,103.65,4,Extinction,0.3662
true,200.14,8,Extinction,0.8941
true,90.23,5,Extinction,0.4578
true,224.08,8,Extinction,0.8941
true,20.89,2,Extinction,0.2344
true,178.77,9,Extinction,0.9900
true,102.59,4,Extinction,0.3662
true,237.13,9,Extinction,0.9900
true,282.18,11,Extinction,0.9900
true,232.82,9,Extinction,0.9900
true,313.26,11,Extinction,0.9900
true,198.20,8,Extinction,0.8941
true,175.28,8,Extinction,0.8941
true,95.05,4,Extinction,0.3662
true,324.01,11,Extinction,0.9900
true,282.23,9,Extinction,0.9900
true,17.91,2,Extinction,0.2344
true,141.20,6,Extinction,0.5722
true,81.10,7,Extinction,0.7153
true,201.48,7,Extinction,0.7153
true,103.10,4,Extinction,0.3662
true,62.26,4,Extinction,0.3662
true,213.82,10,Extinction,0.9900
true,72.06,4,Extinction,0.3662
true,158.24,6,Extinction,0.5722
true,227.38,11,Extinction,0.9900
true,109.65,6,Extinction,0.5722
true,142.57,6,Extinction,0.5722
true,96.53,5,Extinction,0.4578
true,175.41,8,Extinction,0.8941
true,268.51,10,Extinction,0.9900
true,110.36,6,Extinction,0.5722
true,33.67,2,Extinction,0.2344
true,212.53,8,Extinction,0.8941
true,228.83,9,Extinction,0.9900
true,203.33,7,Extinction,0.7153
true,238.63,9,Extinction,0.9900
true,128.32,6,Extinction,0.5722
true,70.15,4,Extinction,0.3662
true,153.18,6,Extinction,0.5722
true,249.39,9,Extinction,0.9900
true,11.16,2,Extinction,0.2344
true,182.08,7,Extinction,0.7153
true,99.40,4,Extinction,0.3662
true,312.19,11,Extinction,0.9900
true,196.05,7,Extinction,0.7153
true,38.95,3,Extinction,0.2930
true,114.51,5,Extinction,0.4578
true,156.70,6,Extinction,0.5722
true,31.46,2,Extinction,0.2344
true,276.56,9,Extinction,0.9900
true,259.01,10,Extinction,0.9900
true,166.15,6,Extinction,0.5722
true,67.81,4,Extinction,0.3662
true,232.50,8,Extinction,0.8941
true,210.09,8,Extinction,0.8941
true,231.88,9,Extinction,0.9900
true,72.88,4,Extinction,0.3662
true,195.55,7,Extinction,0.7153
true,117.96,4,Extinction,0.3662
true,263.23,10,Extinction,0.9900
true,130.91,6,Extinction,0.5722
true,203.64,7,Extinction,0.7153
true,31.29,2,Extinction,0.2344
true,115.27,5,Extinction,0.4578
true,39.47,2,Extinction,0.2344
